,year,state,month,number
5286,2005,Roraima,February,105.0
5287,2006,Roraima,February,283.0
5288,2007,Roraima,February,796.0
5289,2008,Roraima,February,138.0
5290,2009,Roraima,February,153.0
5291,2010,Roraima,February,470.0
5292,2011,Roraima,February,112.0
5293,2012,Roraima,February,130.0
5294,2013,Roraima,February,62.0
5295,2014,Roraima,February,226.0
5296,2015,Roraima,February,418.0
5297,2016,Roraima,February,171.0
5298,2017,Roraima,February,129.0
5299,1998,Roraima,March,0.0
5300,1999,Roraima,March,98.0
5301,2000,Roraima,March,125.0
5302,2001,Roraima,March,1108.0
5303,2002,Roraima,March,820.0
5304,2003,Roraima,March,1131.0
5305,2004,Roraima,March,276.0
5306,2005,Roraima,March,244.0
5307,2006,Roraima,March,385.0
5308,2007,Roraima,March,665.0
5309,2008,Roraima,March,422.0
5310,2009,Roraima,March,176.0
5311,2010,Roraima,March,417.0
5312,2011,Roraima,March,91.0
5313,2012,Roraima,March,99.0
5314,2013,Roraima,March,179.0
5315,2014,Roraima,March,494.0
5316,2015,Roraima,March,163.0
5317,2016,Roraima,March,1081.0
5318,2017,Roraima,March,216.0
5319,1998,Roraima,April,0.0
5320,1999,Roraima,April,16.0
5321,2000,Roraima,April,0.0
5322,2001,Roraima,April,380.0
5323,2002,Roraima,April,41.0
5324,2003,Roraima,April,268.0
5325,2004,Roraima,April,182.0
5326,2005,Roraima,April,22.0
5327,2006,Roraima,April,201.0
5328,2007,Roraima,April,58.0
5329,2008,Roraima,April,175.0
5330,2009,Roraima,April,115.0
5331,2010,Roraima,April,15.0
5332,2011,Roraima,April,108.0
5333,2012,Roraima,April,25.0
5334,2013,Roraima,April,87.0
5335,2014,Roraima,April,162.0
5336,2015,Roraima,April,278.0
5337,2016,Roraima,April,126.0
5338,2017,Roraima,April,51.0
5339,1998,Roraima,May,0.0
5340,1999,Roraima,May,0.0
5341,2000,Roraima,May,7.0
5342,2001,Roraima,May,9.0
5343,2002,Roraima,May,0.0
5344,2003,Roraima,May,0.0
5345,2004,Roraima,May,2.0
5346,2005,Roraima,May,1.0
5347,2006,Roraima,May,0.0
5348,2007,Roraima,May,0.0
5349,2008,Roraima,May,8.0
5350,2009,Roraima,May,219.0
5351,2010,Roraima,May,3.0
5352,2011,Roraima,May,4.0
5353,2012,Roraima,May,18.0
5354,2013,Roraima,May,4.0
5355,2014,Roraima,May,58.0
5356,2015,Roraima,May,12.0
5357,2016,Roraima,May,22.0
5358,2017,Roraima,May,29.0
5359,1998,Roraima,June,0.0
5360,1999,Roraima,June,3.0
5361,2000,Roraima,June,0.0
5362,2001,Roraima,June,1.0
5363,2002,Roraima,June,0.0
5364,2003,Roraima,June,0.0
5365,2004,Roraima,June,6.0
5366,2005,Roraima,June,5.0
5367,2006,Roraima,June,0.0
5368,2007,Roraima,June,1.0
5369,2008,Roraima,June,0.0
5370,2009,Roraima,June,16.0
5371,2010,Roraima,June,0.0
5372,2011,Roraima,June,6.0
5373,2012,Roraima,June,22.0
5374,2013,Roraima,June,6.0
5375,2014,Roraima,June,4.0
5376,2015,Roraima,June,3.0
5377,2016,Roraima,June,7.0
5378,2017,Roraima,June,4.0
5379,1998,Roraima,July,1.0
5380,1999,Roraima,July,4.0
5381,2000,Roraima,July,0.0
5382,2001,Roraima,July,1.0
5383,2002,Roraima,July,7.0
5384,2003,Roraima,July,0.0
5385,2004,Roraima,July,2.0
5386,2005,Roraima,July,2.0
5387,2006,Roraima,July,0.0
5388,2007,Roraima,July,3.0
5389,2008,Roraima,July,0.0
5390,2009,Roraima,July,18.0
5391,2010,Roraima,July,1.0
5392,2011,Roraima,July,9.0
5393,2012,Roraima,July,2.0
5394,2013,Roraima,July,4.0
5395,2014,Roraima,July,9.0
5396,2015,Roraima,July,5.0
5397,2016,Roraima,July,0.0
5398,2017,Roraima,July,3.0
5399,1998,Roraima,August,0.0
5400,1999,Roraima,August,1.0
5401,2000,Roraima,August,9.0
5402,2001,Roraima,August,4.0
5403,2002,Roraima,August,7.0
5404,2003,Roraima,August,2.0
5405,2004,Roraima,August,18.0
5406,2005,Roraima,August,9.0
5407,2006,Roraima,August,4.0
5408,2007,Roraima,August,2.0
5409,2008,Roraima,August,4.0
5410,2009,Roraima,August,29.0
5411,2010,Roraima,August,3.0
5412,2011,Roraima,August,39.0
5413,2012,Roraima,August,4.0
5414,2013,Roraima,August,3.0
5415,2014,Roraima,August,12.0
5416,2015,Roraima,August,11.0
5417,2016,Roraima,August,11.0
5418,2017,Roraima,August,35.0
5419,1998,Roraima,September,2.0
5420,1999,Roraima,September,3.0
5421,2000,Roraima,September,12.0
5422,2001,Roraima,September,1.0
5423,2002,Roraima,September,48.0
5424,2003,Roraima,September,6.0
5425,2004,Roraima,September,9.0
5426,2005,Roraima,September,72.0
5427,2006,Roraima,September,40.0
5428,2007,Roraima,September,9.0
5429,2008,Roraima,September,17.0
5430,2009,Roraima,September,117.0
5431,2010,Roraima,September,18.0
5432,2011,Roraima,September,53.0
5433,2012,Roraima,September,67.0
5434,2013,Roraima,September,18.0
5435,2014,Roraima,September,67.0
5436,2015,Roraima,September,77.0
5437,2016,Roraima,September,19.0
5438,2017,Roraima,September,43.0
5439,1998,Roraima,October,1.0
5440,1999,Roraima,October,10.0
5441,2000,Roraima,October,25.0
5442,2001,Roraima,October,13.0
5443,2002,Roraima,October,191.0
5444,2003,Roraima,October,14.0
5445,2004,Roraima,October,53.0
5446,2005,Roraima,October,88.0
5447,2006,Roraima,October,135.0
5448,2007,Roraima,October,15.0
5449,2008,Roraima,October,78.0
5450,2009,Roraima,October,197.0
5451,2010,Roraima,October,64.0
5452,2011,Roraima,October,65.0
5453,2012,Roraima,October,152.0
5454,2013,Roraima,October,63.0
5455,2014,Roraima,October,61.0
5456,2015,Roraima,October,181.0
5457,2016,Roraima,October,101.0
5458,2017,Roraima,October,156.0
5459,1998,Roraima,November,1.0
5460,1999,Roraima,November,15.0
5461,2000,Roraima,November,32.0
5462,2001,Roraima,November,76.0
5463,2002,Roraima,November,133.0
5464,2003,Roraima,November,27.0
5465,2004,Roraima,November,135.0
5466,2005,Roraima,November,135.0
5467,2006,Roraima,November,26.0
5468,2007,Roraima,November,112.0
5469,2008,Roraima,November,39.0
5470,2009,Roraima,November,312.0
5471,2010,Roraima,November,27.0
5472,2011,Roraima,November,121.0
5473,2012,Roraima,November,187.0
5474,2013,Roraima,November,106.0
5475,2014,Roraima,November,143.0
5476,2015,Roraima,November,280.0
5477,2016,Roraima,November,71.0
5478,2017,Roraima,November,327.0
5479,1998,Roraima,December,16.0
5480,1999,Roraima,December,35.0
5481,2000,Roraima,December,77.0
5482,2001,Roraima,December,76.0
5483,2002,Roraima,December,199.0
5484,2003,Roraima,December,157.0
5485,2004,Roraima,December,160.0
5486,2005,Roraima,December,71.0
5487,2006,Roraima,December,101.0
5488,2007,Roraima,December,8.0
5489,2008,Roraima,December,5.0
5490,2009,Roraima,December,290.0
5491,2010,Roraima,December,73.0
5492,2011,Roraima,December,249.0
5493,2012,Roraima,December,78.0
5494,2013,Roraima,December,65.0
5495,2014,Roraima,December,277.0
5496,2015,Roraima,December,304.0
5497,2016,Roraima,December,136.0
5498,1998,Santa Catarina,January,0.0
5499,1999,Santa Catarina,January,11.0
5500,2000,Santa Catarina,January,14.0
5501,2001,Santa Catarina,January,11.0
5502,2002,Santa Catarina,January,22.0
5503,2003,Santa Catarina,January,45.0
5504,2004,Santa Catarina,January,37.0
5505,2005,Santa Catarina,January,46.0
5506,2006,Santa Catarina,January,41.0
5507,2007,Santa Catarina,January,9.0
5508,2008,Santa Catarina,January,25.0
5509,2009,Santa Catarina,January,21.0
5510,2010,Santa Catarina,January,2.0
5511,2011,Santa Catarina,January,9.0
5512,2012,Santa Catarina,January,14.0
5513,2013,Santa Catarina,January,18.0
5514,2014,Santa Catarina,January,58.0
5515,2015,Santa Catarina,January,28.0
5516,2016,Santa Catarina,January,53.0
5517,2017,Santa Catarina,January,46.0
5518,1998,Santa Catarina,February,0.0
5519,1999,Santa Catarina,February,2.0
5520,2000,Santa Catarina,February,8.0
5521,2001,Santa Catarina,February,0.0
5522,2002,Santa Catarina,February,5.0
5523,2003,Santa Catarina,February,43.0
5524,2004,Santa Catarina,February,29.0
5525,2005,Santa Catarina,February,46.0
5526,2006,Santa Catarina,February,18.0
5527,2007,Santa Catarina,February,14.0
5528,2008,Santa Catarina,February,29.0
5529,2009,Santa Catarina,February,7.0
5530,2010,Santa Catarina,February,15.0
5531,2011,Santa Catarina,February,1.0
5532,2012,Santa Catarina,February,13.0
5533,2013,Santa Catarina,February,12.0
5534,2014,Santa Catarina,February,27.0
5535,2015,Santa Catarina,February,23.0
5536,2016,Santa Catarina,February,10.0
5537,2017,Santa Catarina,February,31.0
5538,1998,Santa Catarina,March,0.0
5539,1999,Santa Catarina,March,7.0
5540,2000,Santa Catarina,March,46.0
5541,2001,Santa Catarina,March,1.0
5542,2002,Santa Catarina,March,12.0
5543,2003,Santa Catarina,March,58.0
5544,2004,Santa Catarina,March,73.0
5545,2005,Santa Catarina,March,92.0
5546,2006,Santa Catarina,March,48.0
5547,2007,Santa Catarina,March,23.0
5548,2008,Santa Catarina,March,14.0
5549,2009,Santa Catarina,March,33.0
5550,2010,Santa Catarina,March,9.0
5551,2011,Santa Catarina,March,8.0
5552,2012,Santa Catarina,March,65.0
5553,2013,Santa Catarina,March,14.0
5554,2014,Santa Catarina,March,15.0
5555,2015,Santa Catarina,March,37.0
5556,2016,Santa Catarina,March,21.0
5557,2017,Santa Catarina,March,12.0
5558,1998,Santa Catarina,April,0.0
5559,1999,Santa Catarina,April,0.0
5560,2000,Santa Catarina,April,7.0
5561,2001,Santa Catarina,April,1.0
5562,2002,Santa Catarina,April,7.0
5563,2003,Santa Catarina,April,120.0
5564,2004,Santa Catarina,April,59.0
5565,2005,Santa Catarina,April,25.0
5566,2006,Santa Catarina,April,30.0
5567,2007,Santa Catarina,April,2.0
5568,2008,Santa Catarina,April,31.0
5569,2009,Santa Catarina,April,57.0
5570,2010,Santa Catarina,April,19.0
5571,2011,Santa Catarina,April,5.0
5572,2012,Santa Catarina,April,40.0
5574,2014,Santa Catarina,April,34.0
5575,2015,Santa Catarina,April,32.0
5576,2016,Santa Catarina,April,36.0
5577,2017,Santa Catarina,April,26.0
5578,1998,Santa Catarina,May,0.0
5579,1999,Santa Catarina,May,1.0
5580,2000,Santa Catarina,May,0.0
5581,2001,Santa Catarina,May,2.0
5582,2002,Santa Catarina,May,3.0
5583,2003,Santa Catarina,May,84.1
5584,2004,Santa Catarina,May,2.0
5585,2005,Santa Catarina,May,21.0
5586,2006,Santa Catarina,May,33.0
5587,2007,Santa Catarina,May,2.0
5588,2008,Santa Catarina,May,15.0
5589,2009,Santa Catarina,May,33.0
5590,2010,Santa Catarina,May,1.0
5591,2011,Santa Catarina,May,16.0
5592,2012,Santa Catarina,May,60.0
5593,2013,Santa Catarina,May,52.0
5594,2014,Santa Catarina,May,42.0
5595,2015,Santa Catarina,May,70.0
5596,2016,Santa Catarina,May,26.0
5597,2017,Santa Catarina,May,36.0
5598,1998,Santa Catarina,June,2.0
5599,1999,Santa Catarina,June,0.0
5600,2000,Santa Catarina,June,2.0
5601,2001,Santa Catarina,June,1.0
5602,2002,Santa Catarina,June,0.0
5603,2003,Santa Catarina,June,68.0
5604,2004,Santa Catarina,June,127.0
5605,2005,Santa Catarina,June,58.0
5606,2006,Santa Catarina,June,32.0
5607,2007,Santa Catarina,June,11.0
5608,2008,Santa Catarina,June,2.0
5609,2009,Santa Catarina,June,14.0
5610,2010,Santa Catarina,June,1.0
5611,2011,Santa Catarina,June,26.0
5612,2012,Santa Catarina,June,42.0
5613,2013,Santa Catarina,June,31.0
5614,2014,Santa Catarina,June,3.0
5615,2015,Santa Catarina,June,104.0
5616,2016,Santa Catarina,June,79.0
5617,2017,Santa Catarina,June,70.0
5618,1998,Santa Catarina,July,0.0
5619,1999,Santa Catarina,July,2.0
5620,2000,Santa Catarina,July,21.0
5621,2001,Santa Catarina,July,5.0
5622,2002,Santa Catarina,July,82.0
5623,2003,Santa Catarina,July,43.0
5624,2004,Santa Catarina,July,94.0
5625,2005,Santa Catarina,July,90.0
5626,2006,Santa Catarina,July,74.0
5627,2007,Santa Catarina,July,12.0
5628,2008,Santa Catarina,July,46.0
5629,2009,Santa Catarina,July,26.0
5630,2010,Santa Catarina,July,31.0
5631,2011,Santa Catarina,July,31.0
5632,2012,Santa Catarina,July,42.0
5633,2013,Santa Catarina,July,69.0
5634,2014,Santa Catarina,July,82.0
5635,2015,Santa Catarina,July,45.0
5636,2016,Santa Catarina,July,480.0
5637,2017,Santa Catarina,July,591.0
5638,1998,Santa Catarina,August,0.0
5639,1999,Santa Catarina,August,51.0
5640,2000,Santa Catarina,August,69.0
5641,2001,Santa Catarina,August,24.0
5642,2002,Santa Catarina,August,702.0
5643,2003,Santa Catarina,August,1513.0
5644,2004,Santa Catarina,August,728.0
5645,2005,Santa Catarina,August,391.0
5646,2006,Santa Catarina,August,728.0
5647,2007,Santa Catarina,August,462.0
5648,2008,Santa Catarina,August,51.0
5649,2009,Santa Catarina,August,759.0
5650,2010,Santa Catarina,August,511.0
5651,2011,Santa Catarina,August,175.0
5652,2012,Santa Catarina,August,398.0
5653,2013,Santa Catarina,August,236.0
5654,2014,Santa Catarina,August,459.0
5655,2015,Santa Catarina,August,379.0
5656,2016,Santa Catarina,August,765.0
5657,2017,Santa Catarina,August,713.0
5658,1998,Santa Catarina,September,6.0
5659,1999,Santa Catarina,September,101.0
5660,2000,Santa Catarina,September,36.0
5661,2001,Santa Catarina,September,18.0
5662,2002,Santa Catarina,September,416.0
5663,2003,Santa Catarina,September,1339.0
5664,2004,Santa Catarina,September,755.0
5665,2005,Santa Catarina,September,116.0
5666,2006,Santa Catarina,September,530.0
5667,2007,Santa Catarina,September,617.0
5668,2008,Santa Catarina,September,233.0
5669,2009,Santa Catarina,September,47.0
5670,2010,Santa Catarina,September,198.0
5671,2011,Santa Catarina,September,450.0
5672,2012,Santa Catarina,September,188.0
5673,2013,Santa Catarina,September,303.0
5674,2014,Santa Catarina,September,208.0
5675,2015,Santa Catarina,September,156.0
5676,2016,Santa Catarina,September,644.0
5677,2017,Santa Catarina,September,626.0
5678,1998,Santa Catarina,October,4.0
5679,1999,Santa Catarina,October,16.0
5680,2000,Santa Catarina,October,55.0
5681,2001,Santa Catarina,October,26.0
5682,2002,Santa Catarina,October,42.0
5683,2003,Santa Catarina,October,669.0
5684,2004,Santa Catarina,October,704.0
5685,2005,Santa Catarina,October,197.0
5686,2006,Santa Catarina,October,269.0
5687,2007,Santa Catarina,October,35.0
5688,2008,Santa Catarina,October,56.0
5689,2009,Santa Catarina,October,252.0
5690,2010,Santa Catarina,October,76.0
5691,2011,Santa Catarina,October,102.0
5692,2012,Santa Catarina,October,34.0
5693,2013,Santa Catarina,October,107.0
5694,2014,Santa Catarina,October,122.0
5695,2015,Santa Catarina,October,21.0
5696,2016,Santa Catarina,October,56.0
5697,2017,Santa Catarina,October,51.0
5698,1998,Santa Catarina,November,21.0
5699,1999,Santa Catarina,November,84.0
5700,2000,Santa Catarina,November,19.0
5701,2001,Santa Catarina,November,66.0
5702,2002,Santa Catarina,November,348.0
5703,2003,Santa Catarina,November,347.0
5704,2004,Santa Catarina,November,279.0
5705,2005,Santa Catarina,November,384.0
5706,2006,Santa Catarina,November,45.0
5707,2007,Santa Catarina,November,26.0
5708,2008,Santa Catarina,November,16.0
5709,2009,Santa Catarina,November,61.0
5710,2010,Santa Catarina,November,88.0
5711,2011,Santa Catarina,November,79.0
5712,2012,Santa Catarina,November,72.0
5713,2013,Santa Catarina,November,84.0
5714,2014,Santa Catarina,November,43.0
5715,2015,Santa Catarina,November,9.0
5716,2016,Santa Catarina,November,156.0
5717,2017,Santa Catarina,November,152.0
5718,1998,Santa Catarina,December,26.0
5719,1999,Santa Catarina,December,89.0
5720,2000,Santa Catarina,December,29.0
5721,2001,Santa Catarina,December,45.0
5722,2002,Santa Catarina,December,76.0
5723,2003,Santa Catarina,December,129.0
5724,2004,Santa Catarina,December,68.0
5725,2005,Santa Catarina,December,17.0
5726,2006,Santa Catarina,December,7.0
5727,2007,Santa Catarina,December,17.0
5728,2008,Santa Catarina,December,29.0
5729,2009,Santa Catarina,December,20.0
5730,2010,Santa Catarina,December,23.0
5731,2011,Santa Catarina,December,24.0
5732,2012,Santa Catarina,December,32.0
5733,2013,Santa Catarina,December,74.0
5734,2014,Santa Catarina,December,45.0
5735,2015,Santa Catarina,December,19.0
5736,2016,Santa Catarina,December,20.0
5737,1998,Sao Paulo,January,0.0
5738,1999,Sao Paulo,January,7.0
5739,2000,Sao Paulo,January,36.0
5740,2001,Sao Paulo,January,26.0
5741,2002,Sao Paulo,January,19.0
5742,2003,Sao Paulo,January,59.0
5743,2004,Sao Paulo,January,37.0
5744,2005,Sao Paulo,January,26.0
5745,2006,Sao Paulo,January,76.0
5746,2007,Sao Paulo,January,14.0
5747,2008,Sao Paulo,January,34.0
5748,2009,Sao Paulo,January,12.0
5749,2010,Sao Paulo,January,45.0
5750,2011,Sao Paulo,January,75.0
5751,2012,Sao Paulo,January,38.0
5752,2013,Sao Paulo,January,36.0
5753,2014,Sao Paulo,January,99.0
5754,2015,Sao Paulo,January,120.0
5755,2016,Sao Paulo,January,85.0
5756,2017,Sao Paulo,January,28.0
5757,1998,Sao Paulo,February,0.0
5758,1999,Sao Paulo,February,47.0
5759,2000,Sao Paulo,February,25.0
5760,2001,Sao Paulo,February,25.0
5761,2002,Sao Paulo,February,19.0
5762,2003,Sao Paulo,February,137.0
5763,2004,Sao Paulo,February,41.0
5764,2005,Sao Paulo,February,78.0
5765,2006,Sao Paulo,February,59.0
5766,2007,Sao Paulo,February,96.0
5767,2008,Sao Paulo,February,30.0
5768,2009,Sao Paulo,February,65.0
5769,2010,Sao Paulo,February,152.0
5770,2011,Sao Paulo,February,73.0
5771,2012,Sao Paulo,February,81.0
5772,2013,Sao Paulo,February,100.0
5773,2014,Sao Paulo,February,112.0
5774,2015,Sao Paulo,February,69.0
5775,2016,Sao Paulo,February,188.0
5776,2017,Sao Paulo,February,107.0
5777,1998,Sao Paulo,March,0.0
5778,1999,Sao Paulo,March,78.0
5779,2000,Sao Paulo,March,26.0
5780,2001,Sao Paulo,March,35.0
5781,2002,Sao Paulo,March,111.0
5782,2003,Sao Paulo,March,86.0
5783,2004,Sao Paulo,March,73.0
5784,2005,Sao Paulo,March,73.0
5785,2006,Sao Paulo,March,106.0
5786,2007,Sao Paulo,March,152.0
5787,2008,Sao Paulo,March,72.0
5788,2009,Sao Paulo,March,55.0
5789,2010,Sao Paulo,March,111.0
5790,2011,Sao Paulo,March,45.0
5791,2012,Sao Paulo,March,99.0
5792,2013,Sao Paulo,March,57.0
5793,2014,Sao Paulo,March,75.0
5794,2015,Sao Paulo,March,68.0
5795,2016,Sao Paulo,March,82.0
5796,2017,Sao Paulo,March,103.0
5797,1998,Sao Paulo,April,0.0
5798,1999,Sao Paulo,April,291.0
5799,2000,Sao Paulo,April,102.0
5800,2001,Sao Paulo,April,61.0
5801,2002,Sao Paulo,April,178.0
5802,2003,Sao Paulo,April,106.0
5803,2004,Sao Paulo,April,36.0
5804,2005,Sao Paulo,April,62.0
5805,2006,Sao Paulo,April,63.0
5806,2007,Sao Paulo,April,44.0
5807,2008,Sao Paulo,April,84.0
5808,2009,Sao Paulo,April,67.0
5809,2010,Sao Paulo,April,91.0
5810,2011,Sao Paulo,April,52.0
5811,2012,Sao Paulo,April,82.0
5812,2013,Sao Paulo,April,103.0
5813,2014,Sao Paulo,April,103.0
5814,2015,Sao Paulo,April,76.0
5815,2016,Sao Paulo,April,307.0
5816,2017,Sao Paulo,April,41.0
5817,1998,Sao Paulo,May,0.0
5818,1999,Sao Paulo,May,500.0
5819,2000,Sao Paulo,May,300.0
5820,2001,Sao Paulo,May,211.0
5821,2002,Sao Paulo,May,319.0
5822,2003,Sao Paulo,May,69.0
5823,2004,Sao Paulo,May,60.0
5824,2005,Sao Paulo,May,212.0
5825,2006,Sao Paulo,May,88.0
5826,2007,Sao Paulo,May,69.0
5827,2008,Sao Paulo,May,40.0
5828,2009,Sao Paulo,May,142.0
5829,2010,Sao Paulo,May,150.0
5830,2011,Sao Paulo,May,136.0
5831,2012,Sao Paulo,May,82.0
5832,2013,Sao Paulo,May,118.0
5833,2014,Sao Paulo,May,181.0
5834,2015,Sao Paulo,May,65.0
5835,2016,Sao Paulo,May,139.0
5836,2017,Sao Paulo,May,43.0
5837,1998,Sao Paulo,June,451.0
5838,1999,Sao Paulo,June,522.0
5839,2000,Sao Paulo,June,606.0
5840,2001,Sao Paulo,June,346.0
5841,2002,Sao Paulo,June,562.0
5842,2003,Sao Paulo,June,132.0
5843,2004,Sao Paulo,June,231.0
5844,2005,Sao Paulo,June,236.0
5845,2006,Sao Paulo,June,97.0
5846,2007,Sao Paulo,June,91.0
5847,2008,Sao Paulo,June,25.0
5848,2009,Sao Paulo,June,125.0
5849,2010,Sao Paulo,June,143.0
5850,2011,Sao Paulo,June,210.0
5851,2012,Sao Paulo,June,30.0
5852,2013,Sao Paulo,June,47.0
5853,2014,Sao Paulo,June,331.0
5854,2015,Sao Paulo,June,147.0
5855,2016,Sao Paulo,June,197.0
5856,2017,Sao Paulo,June,217.0
5857,1998,Sao Paulo,July,596.0
5858,1999,Sao Paulo,July,684.0
5859,2000,Sao Paulo,July,770.0
5860,2001,Sao Paulo,July,538.0
5861,2002,Sao Paulo,July,448.0
5862,2003,Sao Paulo,July,171.0
5863,2004,Sao Paulo,July,342.0
5864,2005,Sao Paulo,July,284.0
5865,2006,Sao Paulo,July,245.0
5866,2007,Sao Paulo,July,94.0
5867,2008,Sao Paulo,July,126.0
5868,2009,Sao Paulo,July,110.0
5869,2010,Sao Paulo,July,600.0
5870,2011,Sao Paulo,July,479.0
5871,2012,Sao Paulo,July,179.0
5872,2013,Sao Paulo,July,181.0
5873,2014,Sao Paulo,July,476.0
5874,2015,Sao Paulo,July,149.0
5875,2016,Sao Paulo,July,687.0
5876,2017,Sao Paulo,July,802.0
5877,1998,Sao Paulo,August,581.0
5878,1999,Sao Paulo,August,1211.0
5879,2000,Sao Paulo,August,915.0
5880,2001,Sao Paulo,August,595.0
5881,2002,Sao Paulo,August,719.0
5882,2003,Sao Paulo,August,934.0
5883,2004,Sao Paulo,August,794.0
5884,2005,Sao Paulo,August,522.0
5885,2006,Sao Paulo,August,572.0
5886,2007,Sao Paulo,August,470.0
5887,2008,Sao Paulo,August,153.0
5888,2009,Sao Paulo,August,289.0
5889,2010,Sao Paulo,August,1809.0
5890,2011,Sao Paulo,August,1067.0
5891,2012,Sao Paulo,August,435.0
5892,2013,Sao Paulo,August,497.0
5893,2014,Sao Paulo,August,1458.0
5894,2015,Sao Paulo,August,643.0
5895,2016,Sao Paulo,August,797.0
5896,2017,Sao Paulo,August,981.0
5897,1998,Sao Paulo,September,525.0
5898,1999,Sao Paulo,September,911.0
5899,2000,Sao Paulo,September,582.0
5900,2001,Sao Paulo,September,425.0
5901,2002,Sao Paulo,September,302.0
5902,2003,Sao Paulo,September,977.0
5903,2004,Sao Paulo,September,809.0
5904,2005,Sao Paulo,September,231.0
5905,2006,Sao Paulo,September,694.0
5906,2007,Sao Paulo,September,495.0
5907,2008,Sao Paulo,September,486.0
5908,2009,Sao Paulo,September,116.0
5909,2010,Sao Paulo,September,1677.0
5910,2011,Sao Paulo,September,1108.0
5911,2012,Sao Paulo,September,813.0
5912,2013,Sao Paulo,September,560.0
5913,2014,Sao Paulo,September,882.0
5914,2015,Sao Paulo,September,368.0
5915,2016,Sao Paulo,September,490.0
5916,2017,Sao Paulo,September,2868.0
5917,1998,Sao Paulo,October,434.0
5918,1999,Sao Paulo,October,763.0
5919,2000,Sao Paulo,October,647.0
5920,2001,Sao Paulo,October,444.0
5921,2002,Sao Paulo,October,733.0
5922,2003,Sao Paulo,October,422.0
5923,2004,Sao Paulo,October,195.0
5924,2005,Sao Paulo,October,221.0
5925,2006,Sao Paulo,October,153.0
5926,2007,Sao Paulo,October,281.0
5927,2008,Sao Paulo,October,87.0
5928,2009,Sao Paulo,October,64.0
5929,2010,Sao Paulo,October,260.0
5930,2011,Sao Paulo,October,188.0
5931,2012,Sao Paulo,October,206.0
5932,2013,Sao Paulo,October,127.0
5933,2014,Sao Paulo,October,887.0
5934,2015,Sao Paulo,October,213.0
5935,2016,Sao Paulo,October,177.0
5936,2017,Sao Paulo,October,179.0
5937,1998,Sao Paulo,November,488.0
5938,1999,Sao Paulo,November,398.0
5939,2000,Sao Paulo,November,96.0
5940,2001,Sao Paulo,November,168.0
5941,2002,Sao Paulo,November,72.0
5942,2003,Sao Paulo,November,155.0
5943,2004,Sao Paulo,November,144.0
5944,2005,Sao Paulo,November,163.0
5945,2006,Sao Paulo,November,43.0
5946,2007,Sao Paulo,November,50.0
5947,2008,Sao Paulo,November,20.0
5948,2009,Sao Paulo,November,83.0
5949,2010,Sao Paulo,November,104.0
5950,2011,Sao Paulo,November,87.0
5951,2012,Sao Paulo,November,50.0
5952,2013,Sao Paulo,November,120.0
5953,2014,Sao Paulo,November,56.0
5954,2015,Sao Paulo,November,21.0
5955,2016,Sao Paulo,November,39.0
5956,2017,Sao Paulo,November,37.0
5957,1998,Sao Paulo,December,121.0
5958,1999,Sao Paulo,December,47.0
5959,2000,Sao Paulo,December,23.0
5960,2001,Sao Paulo,December,52.0
5961,2002,Sao Paulo,December,57.0
5962,2003,Sao Paulo,December,58.0
5963,2004,Sao Paulo,December,102.0
5964,2005,Sao Paulo,December,15.0
5965,2006,Sao Paulo,December,13.0
5966,2007,Sao Paulo,December,21.0
5967,2008,Sao Paulo,December,36.0
5968,2009,Sao Paulo,December,37.0
5969,2010,Sao Paulo,December,52.0
5970,2011,Sao Paulo,December,53.0
5971,2012,Sao Paulo,December,64.0
5972,2013,Sao Paulo,December,109.0
5973,2014,Sao Paulo,December,57.0
5974,2015,Sao Paulo,December,45.0
5975,2016,Sao Paulo,December,47.0
5976,1998,Sergipe,January,0.0
5977,1999,Sergipe,January,36.0
5978,2000,Sergipe,January,1.0
5979,2001,Sergipe,January,2.0
5980,2002,Sergipe,January,1.0
5981,2003,Sergipe,January,198.0
5982,2004,Sergipe,January,16.0
5983,2005,Sergipe,January,80.0
5984,2006,Sergipe,January,36.0
5985,2007,Sergipe,January,56.0
5986,2008,Sergipe,January,100.0
5987,2009,Sergipe,January,60.0
5988,2010,Sergipe,January,29.0
5989,2011,Sergipe,January,36.0
5990,2012,Sergipe,January,39.0
5991,2013,Sergipe,January,34.0
5992,2014,Sergipe,January,20.0
5993,2015,Sergipe,January,44.0
5994,2016,Sergipe,January,9.0
5995,2017,Sergipe,January,31.0
5996,1998,Sergipe,February,0.0
5997,1999,Sergipe,February,25.0
5998,2000,Sergipe,February,6.0
5999,2001,Sergipe,February,2.0
6000,2002,Sergipe,February,6.0
6001,2003,Sergipe,February,50.0
6002,2004,Sergipe,February,10.0
6003,2005,Sergipe,February,19.0
6004,2006,Sergipe,February,36.0
6005,2007,Sergipe,February,22.0
6006,2008,Sergipe,February,67.0
6007,2009,Sergipe,February,64.0
6008,2010,Sergipe,February,33.0
6009,2011,Sergipe,February,31.0
6010,2012,Sergipe,February,34.0
6011,2013,Sergipe,February,47.0
6012,2014,Sergipe,February,18.0
6013,2015,Sergipe,February,40.0
6014,2016,Sergipe,February,22.0
6015,2017,Sergipe,February,18.0
6016,1998,Sergipe,March,0.0
6017,1999,Sergipe,March,18.0
6018,2000,Sergipe,March,6.0
6019,2001,Sergipe,March,1.0
6020,2002,Sergipe,March,7.0
6021,2003,Sergipe,March,62.0
